UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K02041,K03337
K02042,K03338
K02043,K03340
K02044,K03342
K02045,K03366
K02046,K03367
K02047,K03379
K02048,K03382
K02049,K03383
K02050,K03385
K02051,K03386
K02052,K03387
K02053,K03388
K02054,K03389
K02055,K03390
K02056,K03392
K02057,K03394
K02058,K03399
K02062,K03402
K02063,K03403
K02064,K03404
K02065,K03405
K02066,K03406
K02067,K03407
K02068,K03408
K02069,K03409
K02071,K03410
K02072,K03411
K02073,K03412
K02074,K03413
K02075,K03415
K02076,K03417
K02077,K03424
K02078,K03426
K02079,K03427
K02080,K03428
K02081,K03429
K02082,K03430
K02083,K03431
K02084,K03435
K02086,K03436
K02096,K03437
K02099,K03438
K02100,K03439
K02101,K03442
K02103,K03449
K02105,K03451
K02106,K03453
K02107,K03457
K02108,K03458
K02109,K03462
K02110,K03465
K02111,K03466
K02112,K03469
K02113,K03470
K02114,K03471
K02115,K03475
K02116,K03476
K02117,K03477
K02118,K03478
K02119,K03480
K02120,K03481
K02121,K03483
K02122,K03484
K02123,K03486
K02124,K03487
K02126,K03488
K02133,K03490
K02134,K03491
K02137,K03492
K02154,K03493
K02160,K03495
K02164,K03496
K02167,K03497
K02168,K03498
K02169,K03499
K02170,K03500
K02171,K03501
K02172,K03502
K02173,K03503
K02182,K03517
K02188,K03518
K02189,K03519
K02190,K03521
K02191,K03522
K02192,K03523
K02193,K03524
K02194,K03525
K02195,K03526
K02196,K03527
K02197,K03529
K02198,K03530
K02199,K03531
K02200,K03533
K02201,K03534
K02202,K03536
K02203,K03543
K02204,K03544
K02205,K03545
K02217,K03546
K02221,K03547
K02224,K03549
K02225,K03550
K02226,K03551
K02227,K03553
K02228,K03555
K02229,K03556
K02230,K03561
K02231,K03563
K02232,K03564
K02233,K03565
K02234,K03566
K02236,K03568
K02237,K03569
K02238,K03570
K02239,K03571
K02240,K03572
K02241,K03573
K02242,K03574
K02243,K03575
K02244,K03577
K02245,K03581
K02246,K03584
K02247,K03587
K02248,K03588
K02249,K03589
K02250,K03592
K02251,K03593
K02254,K03594
K02255,K03595
K02256,K03596
K02257,K03599
K02258,K03601
K02259,K03602
K02261,K03603
K02262,K03604
K02274,K03608
K02275,K03609
K02276,K03610
K02277,K03612
K02278,K03613
K02279,K03614
K02280,K03615
K02281,K03616
K02282,K03617
K02283,K03621
K02286,K03623
K02287,K03624
K02289,K03625
K02290,K03628
